datetime,windSp
1/1/22 10:54 AM,7.2
1/1/22 10:59 AM,7.7
1/1/22 11:04 AM,7.3
1/1/22 11:09 AM,6.7
1/1/22 11:14 AM,6.9
1/1/22 11:19 AM,6.6
1/1/22 11:24 AM,7.2
1/1/22 11:29 AM,7.6
1/1/22 11:34 AM,7
1/1/22 11:39 AM,4.4
1/1/22 11:44 AM,7
1/1/22 11:49 AM,6.6
1/1/22 11:54 AM,5.4
1/1/22 11:59 AM,5.1
1/1/22 12:04 PM,7.2
1/1/22 12:09 PM,6.9
1/1/22 12:14 PM,6.5
1/1/22 12:19 PM,6.9
1/1/22 12:24 PM,5.5
1/1/22 12:29 PM,7
1/1/22 12:39 PM,5.2
1/1/22 12:44 PM,5.3
1/1/22 12:49 PM,5
1/1/22 12:51 PM,0
1/1/22 12:54 PM,5.8
1/1/22 1:02 PM,0
1/1/22 1:04 PM,6.5
1/1/22 1:09 PM,7
1/1/22 1:14 PM,7.3
1/1/22 1:19 PM,7.5
1/1/22 1:24 PM,7.7
1/1/22 1:29 PM,6.7
1/1/22 1:34 PM,7.6
1/1/22 1:44 PM,7.4
1/1/22 1:49 PM,7
1/1/22 1:59 PM,7.3
1/1/22 2:04 PM,7.2
1/1/22 2:09 PM,6.9
1/1/22 2:14 PM,7.6
1/1/22 2:19 PM,6.7
1/1/22 2:24 PM,5.6
1/1/22 2:29 PM,7.8
1/1/22 2:34 PM,7.2
1/1/22 2:39 PM,7.9
1/1/22 2:44 PM,8
1/1/22 2:49 PM,7.7
1/1/22 2:54 PM,7.6
1/1/22 3:09 PM,7.9
1/1/22 3:14 PM,8.5
1/1/22 3:19 PM,6.4
1/1/22 3:24 PM,6.7
1/1/22 3:29 PM,5.2
1/1/22 3:34 PM,8.3
1/1/22 3:39 PM,6.8
1/1/22 3:44 PM,9.2
1/1/22 3:49 PM,8
1/1/22 3:54 PM,7.5
1/1/22 3:59 PM,7.4
1/1/22 4:04 PM,8.2
1/1/22 4:09 PM,6.8
1/1/22 4:14 PM,6.5
1/1/22 4:19 PM,7.1
1/1/22 4:24 PM,7.3
1/1/22 4:29 PM,6.5
1/1/22 4:34 PM,5.9
1/1/22 4:39 PM,6.5
1/1/22 4:44 PM,6.3
1/1/22 4:49 PM,6.1
1/1/22 4:54 PM,7
1/1/22 4:59 PM,8
1/1/22 5:04 PM,7.6
1/1/22 5:09 PM,9.2
1/1/22 5:14 PM,5.6
1/1/22 5:19 PM,5.9
1/1/22 5:24 PM,7.3
1/1/22 5:29 PM,8.9
1/1/22 5:34 PM,6.2
1/1/22 5:39 PM,7.3
1/1/22 5:44 PM,5
1/1/22 5:49 PM,5.9
1/1/22 5:54 PM,8.3
1/1/22 5:59 PM,8.4
1/1/22 6:04 PM,6.6
1/1/22 6:09 PM,7.4
1/1/22 6:14 PM,8.7
1/1/22 6:19 PM,4.7
1/1/22 6:24 PM,8.3
1/1/22 6:29 PM,5.3
1/1/22 6:34 PM,3
1/1/22 6:39 PM,6.6
1/1/22 6:44 PM,7.7
1/1/22 6:49 PM,6.7
1/1/22 6:54 PM,7.3
1/1/22 6:59 PM,7.8
1/1/22 7:04 PM,6.6
1/1/22 7:09 PM,6
1/1/22 7:14 PM,6.7
1/1/22 7:19 PM,7.7
1/1/22 7:24 PM,6.2
1/1/22 7:29 PM,8.3
1/1/22 7:34 PM,5
1/1/22 7:39 PM,6.4
1/1/22 7:44 PM,5.7
1/1/22 7:49 PM,5.4
1/1/22 7:54 PM,5.8
1/1/22 7:59 PM,6.3
1/1/22 8:04 PM,5.6
1/1/22 8:09 PM,4.5
1/1/22 8:14 PM,4.2
1/1/22 8:19 PM,6.6
1/1/22 8:24 PM,6.2
1/1/22 8:29 PM,2.5
1/1/22 8:34 PM,4.8
1/1/22 8:39 PM,3.8
1/1/22 8:44 PM,6.3
1/1/22 8:49 PM,5.9
1/1/22 8:54 PM,4.2
1/1/22 8:59 PM,4.4
1/1/22 9:04 PM,4.1
1/1/22 9:09 PM,3
1/1/22 9:14 PM,3.4
1/1/22 9:19 PM,1.2
1/1/22 9:24 PM,1.8
1/1/22 9:29 PM,3.3
1/1/22 9:34 PM,4.8
1/1/22 9:39 PM,1.9
1/1/22 9:44 PM,4.8
1/1/22 9:49 PM,4
1/1/22 9:54 PM,3.9
1/1/22 10:04 PM,1.8
1/1/22 10:09 PM,2
1/1/22 10:14 PM,3.1
1/1/22 10:19 PM,2.2
1/1/22 10:24 PM,2.3
1/1/22 10:29 PM,2.9
1/1/22 10:34 PM,1.8
1/1/22 10:39 PM,2.9
1/1/22 10:44 PM,0.7
1/1/22 10:49 PM,2
1/1/22 10:54 PM,0.4
1/1/22 11:04 PM,1.7
1/1/22 11:09 PM,1.4
1/1/22 11:14 PM,0.6
1/1/22 11:19 PM,0.8
1/1/22 11:29 PM,0.4
1/1/22 11:34 PM,1.2
1/1/22 11:39 PM,1.7
1/1/22 11:44 PM,0.4
1/1/22 11:49 PM,1.8
1/1/22 11:59 PM,0.5
1/2/22 12:04 AM,2.4
1/2/22 12:09 AM,0.7
1/2/22 12:14 AM,1.9
1/2/22 12:19 AM,0.7
1/2/22 12:24 AM,1.6
1/2/22 12:29 AM,1
1/2/22 12:34 AM,0.8
1/2/22 12:39 AM,1.7
1/2/22 12:49 AM,0.5
1/2/22 12:54 AM,0.6
1/2/22 12:59 AM,0.8
1/2/22 1:04 AM,1.6
1/2/22 1:09 AM,1.5
1/2/22 1:14 AM,1.2
1/2/22 1:19 AM,2.9
1/2/22 1:24 AM,3
1/2/22 1:29 AM,3.2
1/2/22 1:34 AM,2.9
1/2/22 1:39 AM,3.3
1/2/22 1:44 AM,2.7
1/2/22 1:49 AM,2.8
1/2/22 1:59 AM,2.6
1/2/22 2:09 AM,3.6
1/2/22 2:14 AM,3
1/2/22 2:19 AM,2.8
1/2/22 2:24 AM,3.1
1/2/22 2:29 AM,3.5
1/2/22 2:34 AM,4.5
1/2/22 2:44 AM,4.4
1/2/22 2:49 AM,4.7
1/2/22 2:54 AM,4.5
1/2/22 2:59 AM,6.5
1/2/22 3:04 AM,7.2
1/2/22 3:09 AM,5.8
1/2/22 3:14 AM,4.1
1/2/22 3:19 AM,5.4
1/2/22 3:24 AM,5.5
1/2/22 3:29 AM,4.1
1/2/22 3:34 AM,4.2
1/2/22 3:39 AM,4.7
1/2/22 3:44 AM,3.8
1/2/22 3:49 AM,4.9
1/2/22 3:54 AM,4.6
1/2/22 3:59 AM,4.2
1/2/22 4:09 AM,4
1/2/22 4:14 AM,3.8
1/2/22 4:19 AM,3.4
1/2/22 4:24 AM,3.5
1/2/22 4:29 AM,3.1
1/2/22 4:34 AM,2.5
1/2/22 4:39 AM,3.4
1/2/22 4:44 AM,3.5
1/2/22 4:49 AM,3.2
1/2/22 4:54 AM,4
1/2/22 5:04 AM,3.7
1/2/22 5:09 AM,3.9
1/2/22 5:14 AM,4.1
1/2/22 5:19 AM,4.4
1/2/22 5:24 AM,4.5
1/2/22 5:29 AM,4.4
1/2/22 5:34 AM,3.8
1/2/22 5:39 AM,4.4
1/2/22 5:44 AM,4.8
1/2/22 5:49 AM,4.6
1/2/22 5:54 AM,4.7
1/2/22 5:59 AM,4.4
1/2/22 6:04 AM,5.2
1/2/22 6:09 AM,5.1
1/2/22 6:14 AM,5.2
1/2/22 6:19 AM,5.3
1/2/22 6:29 AM,5.6
1/2/22 6:34 AM,4.9
1/2/22 6:39 AM,4.7
1/2/22 6:44 AM,5.1
1/2/22 6:49 AM,5.3
1/2/22 6:54 AM,6.4
1/2/22 6:59 AM,6.2
1/2/22 7:04 AM,6.4
1/2/22 7:09 AM,6.9
1/2/22 7:14 AM,6.2
1/2/22 7:19 AM,5.9
1/2/22 7:24 AM,5.6
1/2/22 7:29 AM,5.7
1/2/22 7:34 AM,5.3
1/2/22 7:39 AM,5.5
1/2/22 7:44 AM,5.3
1/2/22 7:49 AM,5.6
1/2/22 7:54 AM,5.7
1/2/22 7:59 AM,5.2
1/2/22 8:04 AM,5.5
1/2/22 8:09 AM,5.6
1/2/22 8:14 AM,6
1/2/22 8:24 AM,6.1
1/2/22 8:29 AM,6.5
1/2/22 8:34 AM,6.9
1/2/22 8:39 AM,6.4
1/2/22 8:44 AM,6.5
1/2/22 8:49 AM,6.6
1/2/22 8:54 AM,6.5
1/2/22 8:59 AM,6.7
1/2/22 9:04 AM,6.8
1/2/22 9:09 AM,6.4
1/2/22 9:14 AM,5.8
1/2/22 9:19 AM,6.4
1/2/22 9:24 AM,6
1/2/22 9:29 AM,6.5
1/2/22 9:34 AM,6.8
1/2/22 9:39 AM,7.5
1/2/22 9:44 AM,7.3
1/2/22 9:49 AM,7.9
1/2/22 9:50 AM,0
1/2/22 9:54 AM,7.4
1/2/22 9:59 AM,7.6
1/2/22 10:04 AM,7.8
1/2/22 10:09 AM,7.9
1/2/22 10:14 AM,7.8
1/2/22 10:19 AM,8.8
1/2/22 10:24 AM,9
