Datetime,az_fill
44561.87500,0.0
44561.87569,0.0
44561.87639,0.0
44561.87708,0.0
44561.87778,0.0
44561.87847,0.0
44561.87917,0.0
44561.87986,0.0
44561.88056,0.0
44561.88125,0.0
44561.88194,0.0
44561.88264,0.0
44561.88333,0.0
44561.88403,0.0
44561.88472,0.0
44561.88542,0.0
44561.88611,0.0
44561.88681,0.0
44561.88750,0.0
44561.88819,0.0
44561.88889,0.0
44561.88958,0.0
44561.89028,0.0
44561.89097,0.0
44561.89167,0.0
44561.89236,0.0
44561.89306,0.0
44561.89375,0.0
44561.89444,0.0
44561.89514,0.0
44561.89583,0.0
44561.89653,0.0
44561.89722,0.0
44561.89792,0.0
44561.89861,0.0
44561.89931,0.0
44561.90000,0.0
44561.90069,0.0
44561.90139,0.0
44561.90208,0.0
44561.90278,0.0
44561.90347,0.0
44561.90417,0.0
44561.90486,0.0
44561.90556,0.0
44561.90625,0.0
44561.90694,0.0
44561.90764,0.0
44561.90833,0.0
44561.90903,0.0
44561.90972,0.0
44561.91042,0.0
44561.91111,0.0
44561.91181,0.0
44561.91250,0.0
44561.91319,0.0
44561.91389,0.0
44561.91458,0.0
44561.91528,0.0
44561.91597,0.0
44561.91667,0.0
44561.91736,0.0
44561.91806,0.0
44561.91875,0.0
44561.91944,0.0
44561.92014,0.0
44561.92083,0.0
44561.92153,0.0
44561.92222,0.0
44561.92292,0.0
44561.92361,0.0
44561.92431,0.0
44561.92500,0.0
44561.92569,0.0
44561.92639,0.0
44561.92708,0.0
44561.92778,0.0
44561.92847,0.0
44561.92917,0.0
44561.92986,0.0
44561.93056,0.0
44561.93125,0.0
44561.93194,0.0
44561.93264,0.0
44561.93333,0.0
44561.93403,0.0
44561.93472,0.0
44561.93542,0.0
44561.93611,0.0
44561.93681,0.0
44561.93750,0.0
44561.93819,0.0
44561.93889,0.0
44561.93958,0.0
44561.94028,0.0
44561.94097,0.0
44561.94167,0.0
44561.94236,0.0
44561.94306,0.0
44561.94375,0.0
44561.94444,0.0
44561.94514,0.0
44561.94583,0.0
